disease,drug
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate/amphetamine / dextroamphetamine/dextroamphetamine/clonidine/bupropion/guanfacine/lisdexamfetamine/amphetamine/atomoxetine
AIDS Related Wasting,dronabinol/megestrol/somatropin
AV Heart Block,atropine/epinephrine/isoproterenol
Abdominal Distension,bethanechol/pamabrom
Abnormal Uterine Bleeding,medroxyprogesterone/norethindrone/megestrol/levonorgestrel/ethinyl estradiol / levonorgestrel/ethinyl estradiol / norgestimate/ethinyl estradiol / norethindrone/desogestrel / ethinyl estradiol
Abortion,misoprostol/mifepristone/oxytocin/carboprost/dinoprostone
Acne,doxycycline/spironolactone/minocycline/clindamycin/tretinoin/isotretinoin/benzoyl peroxide/adapalene/tetracycline/cephalexin/sulfamethoxazole / trimethoprim
Acromegaly,bromocriptine/octreotide/pegvisomant/lanreotide/pasireotide
Actinic Keratosis,fluorouracil/aminolevulinic acid/ingenol
Actinomycosis,amoxicillin/doxycycline/minocycline/penicillin g sodium/penicillin g potassium
Acute Coronary Syndrome,clopidogrel/ticagrelor/prasugrel/enoxaparin/eptifibatide/tirofiban
Acute Lymphoblastic Leukemia,methotrexate/mercaptopurine/dasatinib/pegaspargase/doxorubicin/imatinib/asparaginase erwinia chrysanthemi/ponatinib/vincristine liposome/blinatumomab
Acute Lymphocytic Leukemia,prednisone/vincristine/cyclophosphamide/methotrexate/asparaginase escherichia coli/daunorubicin/asparaginase erwinia chrysanthemi/teniposide
Acute Myeloid Leukemia,cytarabine/vincristine/daunorubicin/idarubicin/decitabine/gemtuzumab/midostaurin/venetoclax/enasidenib/cytarabine liposomal / daunorubicin liposomal/ivosidenib/gilteritinib/glasdegib
Acute Nonlymphocytic Leukemia,isotretinoin/methotrexate/thioguanine/mitoxantrone/cyclophosphamide/daunorubicin/cytarabine
Acute Otitis Externa,ofloxacin/ciprofloxacin/ciprofloxacin / hydrocortisone/dexamethasone/colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Acute Promyelocytic Leukemia,tretinoin/arsenic trioxide
Adams-Stokes Syndrome,epinephrine/ephedrine/isoproterenol
Addison's Disease,hydrocortisone/fludrocortisone/dexamethasone
Adenosine Deaminase Deficiency,pegademase bovine/elapegademase
Adrenal Insufficiency,dexamethasone/cortisone
Adrenocortical Insufficiency,hydrocortisone/prednisone/dexamethasone/triamcinolone/cosyntropin
Adrenogenital Syndrome,fludrocortisone/prednisone/dexamethasone/methylprednisolone
Agitated State,aripiprazole/olanzapine/loxapine
Agitation,risperidone/olanzapine/citalopram/amitriptyline / perphenazine/loxapine
Alcohol Dependence,naltrexone/acamprosate/disulfiram/ondansetron
Alcohol Withdrawal,gabapentin/baclofen/chlordiazepoxide/diazepam/clonidine/atenolol/oxazepam/clorazepate
Alcoholic Liver Damage,propylthiouracil/oxandrolone
Alkylating Agent Cystitis,sodium bicarbonate/citric acid / sodium citrate
Allergic Asthma,terbutaline/salmeterol
Allergic Reactions,diphenhydramine/prednisone/loratadine/epinephrine/chlorpheniramine/promethazine/triamcinolone/cyproheptadine
Allergic Rhinitis,cetirizine/loratadine/fluticasone/montelukast/fexofenadine/azelastine/diphenhydramine/prednisone/levocetirizine
Allergic Urticaria,hydroxyzine/famotidine/triprolidine/carbinoxamine/tetracaine
Allergies,hydroxyzine/levocetirizine/loratadine/doxylamine/corticotropin/triprolidine/dexbrompheniramine/chlorpheniramine / ibuprofen / phenylephrine/dexbrompheniramine / phenylephrine
Alopecia,spironolactone/minoxidil/triamcinolone/sulfasalazine
Alport Syndrome,lisinopril/losartan/enalapril/fosinopril/candesartan/quinapril
Alzheimer's Disease,donepezil/memantine/galantamine/rivastigmine/vitamin e/donepezil / memantine/ergoloid mesylates/etanercept
Amebiasis,metronidazole/tinidazole/nitazoxanide/doxycycline/paromomycin/chloroquine
Amenorrhea,medroxyprogesterone/progesterone/norethindrone
Amyloidogenic Transthyretin Amyloidosis,inotersen/patisiran
Amyotrophic Lateral Sclerosis,riluzole/edaravone
Anal Cancer,capecitabine/fluorouracil/mitomycin/cisplatin
Anal Itching,hydrocortisone/clobetasol/lidocaine/zinc oxide/benzocaine
Anaphylaxis,epinephrine/promethazine
Anaplastic Astrocytoma,temozolomide/procarbazine
Anaplastic Oligodendroglioma,temozolomide/vincristine/lomustine/procarbazine
Androgenetic Alopecia,finasteride/ketoconazole
Anemia,epoetin alfa/multivitamin with iron/pyridoxine/oxymetholone/lenalidomide
Anemia Associated with Chronic Renal Failure,ferrous sulfate/epoetin alfa/ferrous fumarate/darbepoetin alfa/ferrous gluconate/epoetin beta-methoxy polyethylene glycol
"Anemia, Chemotherapy Induced",epoetin alfa/darbepoetin alfa
"Anemia, Megaloblastic",folic acid/leucovorin
"Anemia, Sickle Cell",hydroxyurea/vitamin e/glutamine/crizanlizumab
Anesthesia,propofol/lidocaine/fentanyl/lidocaine / prilocaine/ketamine/succinylcholine/glycopyrrolate/rocuronium/etomidate/vecuronium/hyoscyamine/cisatracurium
