Medicine name,medicine description
Aspirin ,"Commonly used as a pain reliever and fever reducer, aspirin also has anti-inflammatory properties and is used to prevent blood clots."
Paracetamol,"A widely used pain reliever and fever reducer, paracetamol is available over-the-counter and is generally considered safe when used as directed."
Ibuprofen,"Another popular nonsteroidal anti-inflammatory drug (NSAID), ibuprofen is used to reduce pain, inflammation, and fever."
Amoxicillin,"An antibiotic used to treat a variety of bacterial infections, including those of the ear, nose, throat, skin, and urinary tract."
Lisinopril,"An angiotensin-converting enzyme (ACE) inhibitor used to treat high blood pressure, heart failure, and to improve survival after heart attacks"
Atorvastatin,A statin medication used to lower cholesterol levels and reduce the risk of heart disease.
Metformin,An oral diabetes medication that helps control blood sugar levels in people with type 2 diabetes.
Metronidazole,"An antibiotic used to treat infections caused by bacteria and other organisms, including certain types of vaginal infectionsand bacterial infection."
Pantoprazole,A proton pump inhibitor (PPI) used to reduce stomach acid and treat conditions such as GERD and stomach ulcers
Amlodipine,A calcium channel blocker used to treat high blood pressure and chest pain (angina).
Gabapentin,An anticonvulsant medication used to treat seizures and nerve pain (neuropathic pain) caused by shingles or diabetes.
Levothyroxine,A synthetic thyroid hormone used to treat hypothyroidism (underactive thyroid) and to prevent or treat goiter (enlarged thyroid gland).
Ciprofloxacin,"An antibiotic used to treat a variety of bacterial infections, including urinary tract infections (UTIs) and sinus infections."
Simvastatin,Another statin medication used to lower cholesterol levels and reduce the risk of heart disease.
Metoprolol,"A beta-blocker used to treat high blood pressure, chest pain (angina), and heart failure."
Warfarin,"An anticoagulant (blood thinner) used to prevent blood clots and reduce the risk of stroke, heart attack, and other blood clot-related conditions."
Prednisone,"A corticosteroid used to treat inflammation, allergies, and autoimmune disorders by suppressing the immune system."
Hydrochlorothiazide,A diuretic (water pill) used to treat high blood pressure and fluid retention (edema) caused by various conditions.
Omeprazole,A proton pump inhibitor (PPI) used to reduce stomach acid and treat conditions such as gastroesophageal reflux disease (GERD) and stomach ulcers.
Amoxicillin,"An antibiotic used to treat a variety of bacterial infections, including those of the ear, nose, throat, skin, and urinary tract."
Citzen,"Used to treat symptoms associated with allergic rhinitis such as nasal congestion, itchy nose, repeated sneezing and red, watery and itchy eyes."
Amlodipine,A calcium channel blocker used to treat high blood pressure and chest pain.
Gabapentin,An anticonvulsant medication used to treat seizures and nerve pain (neuropathic pain) caused by shingles or diabetes.
Insulin,Hormone used to manage blood sugar levels in patients with diabetes mellitus.
Pantoprazole,A proton pump inhibitor (PPI) used to reduce stomach acid and treat conditions such as GERD and stomach ulcers.
Albuterol, A bronchodilator used to treat asthma and chronic obstructive pulmonary disease.
Vitamin C,"Supplement used to prevent or treat vitamin C deficiency, support immune function, and promote skin health."
Vitamin D," Supplement used to maintain healthy bones and teeth, regulate immune function, and support cardiovascular health."
Budesonide,Another corticosteroid used to treat asthma and inflammatory bowel disease.
Ferrous Sulfate, An iron supplement used to prevent and treat iron deficiency anemia.
